w	n	
499.5	2.067	
503.3	1.958	
511.1	1.903	
514.9	1.895	
538.1	1.897	
549.6	1.912	
553.5	1.92	
561.2	1.935	
568.9	1.932	
572.8	1.911	
576.6	1.874	
584.4	1.793	
592.1	1.727	
607.5	1.623	
622.9	1.575	
626.8	1.577	
642.2	1.584	
653.8	1.599	
673.1	1.625	
700.1	1.653	
773.4	1.701	
792.7	1.718	
796.6	1.722	
819.7	1.744	
823.6	1.749	
839	1.771	
854.4	1.796	
866	1.813	
873.7	1.819	
881.4	1.812	
889.2	1.789	
896.9	1.757	
900.7	1.74	
904.6	1.725	
908.4	1.713	
923.9	1.707	
931.6	1.721	
939.3	1.741	
947	1.76	
958.6	1.784	
970.2	1.799	
985.6	1.802	
989.5	1.804	
997.2	1.817	
1008.8	1.82	
1028	1.764	
1043.5	1.667	
1055.1	1.589	
1070.5	1.547	
1085.9	1.548	
1101.3	1.541	
1109.1	1.535	
1132.2	1.499	
1147.6	1.443	
1166.9	1.346	
1193.9	1.255	
1217.1	1.203	
1236.4	1.181	
1248	1.189	
1259.5	1.208	
1271.1	1.231	
1282.7	1.251	
1302	1.268	
1321.3	1.274	
1348.3	1.283	
1363.7	1.294	
1398.4	1.32	
1456.3	1.355	
1521.9	1.394	
1541.2	1.409	
1579.8	1.442	
1595.2	1.456	
1618.3	1.47	
1637.6	1.473	
1672.4	1.463	
1707.1	1.43	
1726.4	1.404	
1757.2	1.368	
1815.1	1.332	
1869.1	1.325	
1930.8	1.335	
1988.7	1.353	
2054.3	1.371	
2146.9	1.387	
2197.1	1.39	
2270.4	1.388	
2332.1	1.389	
2397.7	1.395	
2548.1	1.4	
2679.3	1.401	
2845.2	1.386	
2976.4	1.365	
3026.6	1.359	
3092.1	1.354	
3242.6	1.332	
3350.6	1.296	
3396.9	1.272	
3443.2	1.249	
3485.7	1.235	
3489.5	1.234	
3493.4	1.233	
3497.2	1.232	
3539.7	1.227	
3547.4	1.227	
3586	1.233	
3593.7	1.235	
3609.1	1.241	
3620.7	1.246	
3632.3	1.252	
3647.7	1.26	
3701.7	1.285	
3802	1.311	
3902.3	1.327	
3998.8	1.338	
4500.4	1.369	
5001.9	1.386	
5499.6	1.397	
6001.2	1.404	
6498.9	1.409	
6996.6	1.413	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
