w	n	
499.5	2.1	
503.3	2	
511.1	1.95	
514.9	1.946	
538.1	1.968	
549.6	1.999	
553.5	2.015	
561.2	2.041	
568.9	2.017	
572.8	1.968	
576.6	1.903	
584.4	1.792	
592.1	1.715	
607.5	1.615	
622.9	1.575	
626.8	1.581	
642.2	1.601	
653.8	1.625	
673.1	1.657	
700.1	1.692	
773.4	1.755	
792.7	1.774	
796.6	1.779	
819.7	1.808	
823.6	1.814	
839	1.844	
854.4	1.88	
866	1.909	
873.7	1.922	
881.4	1.92	
889.2	1.892	
896.9	1.838	
900.7	1.808	
904.6	1.779	
908.4	1.754	
923.9	1.726	
931.6	1.75	
939.3	1.78	
947	1.809	
958.6	1.845	
970.2	1.87	
985.6	1.888	
989.5	1.892	
997.2	1.907	
1008.8	1.917	
1028	1.853	
1043.5	1.723	
1055.1	1.622	
1070.5	1.567	
1085.9	1.588	
1101.3	1.607	
1109.1	1.612	
1132.2	1.567	
1147.6	1.479	
1166.9	1.355	
1193.9	1.239	
1217.1	1.166	
1236.4	1.137	
1248	1.147	
1259.5	1.168	
1271.1	1.191	
1282.7	1.209	
1302	1.217	
1321.3	1.213	
1348.3	1.227	
1363.7	1.246	
1398.4	1.288	
1456.3	1.34	
1521.9	1.392	
1541.2	1.409	
1579.8	1.446	
1595.2	1.46	
1618.3	1.478	
1637.6	1.485	
1672.4	1.472	
1707.1	1.429	
1726.4	1.401	
1757.2	1.366	
1815.1	1.337	
1869.1	1.337	
1930.8	1.353	
1988.7	1.373	
2054.3	1.393	
2146.9	1.409	
2197.1	1.409	
2270.4	1.404	
2332.1	1.408	
2397.7	1.417	
2548.1	1.415	
2679.3	1.413	
2845.2	1.388	
2976.4	1.35	
3026.6	1.338	
3092.1	1.325	
3242.6	1.306	
3350.6	1.287	
3396.9	1.274	
3443.2	1.261	
3485.7	1.255	
3489.5	1.254	
3493.4	1.254	
3497.2	1.253	
3539.7	1.253	
3547.4	1.254	
3586	1.261	
3593.7	1.263	
3609.1	1.268	
3620.7	1.273	
3632.3	1.278	
3647.7	1.285	
3701.7	1.305	
3802	1.329	
3902.3	1.343	
3998.8	1.353	
4500.4	1.383	
5001.9	1.4	
5499.6	1.41	
6001.2	1.417	
6498.9	1.422	
6996.6	1.426	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
