403.3878211,1.935410526
405.9726962,1.88
411.1298725,1.796884211
417.1366984,1.721684211
424.0075445,1.622736842
434.3021376,1.500042105
437.7384588,1.448589474
442.0280223,1.397136842
448.8898868,1.317978947
454.8949165,1.246736842
465.185917,1.131957895
475.4679361,1.036968421
482.326208,0.965726316
490.8963535,0.882610526
498.6060715,0.815326316
506.3121969,0.755957895
519.1521466,0.664926316
534.5590084,0.558063158
559.3479432,0.459115789
571.3166876,0.407663158
587.5588288,0.340378947
610.6358901,0.253305263
618.3258488,0.229557895
628.5827196,0.189978947
637.1313095,0.154357895
643.1165798,0.126652632
658.4964972,0.079157895
